Date,Portfolio Profit Loss,Total Capital,Period Return (%),SPY Period Return (%)
2022-04-08,-757.2306206893552,1036932.3476691309,-7.297274989860844,-0.2673934796955768
2022-04-10,-108.9071333108686,1036823.44053582,-1.0502819548032771,1.145357848867623
2022-04-13,164.12892362399677,1036987.5694594439,1.5829978104968052,1.145357848867623
2022-05-02,-233.12781024491247,1036754.441649199,-2.248125407775488,0.6019444141573072
2022-05-15,1712.858974145664,1038467.3006233446,16.521356507727745,1.871007995678986
2022-05-23,-604.6517642525733,1037862.648859092,-5.822540236843552,1.871007995678986
2022-05-29,958.5503658470535,1038821.1992249391,9.235811375433682,3.179386629448655
2022-06-20,-1338.7262241122905,1037482.4730008268,-12.886974439019049,3.179386629448655
2022-06-24,1057.4436457472304,1038539.916646574,10.19240009605818,3.179386629448655
2022-07-05,449.2107965909296,1038989.1274431649,4.325407135446684,0.188857737683934
2022-07-16,783.8424674778448,1039772.9699106428,7.5442797886325605,2.7019181769385003
2022-07-19,263.7299086232181,1040036.6998192661,2.5364182014260557,2.7019181769385003
2022-07-28,1838.7008199982838,1041875.4006392644,17.679191708502273,1.2542386475471679
2022-08-06,392.4273776378667,1042267.8280169022,3.766548067044147,0.6536291697658347
2022-09-08,-1501.2137602258051,1040766.6142566764,-14.403339716262067,0.6536291697658347
2023-01-10,1618.1695394624508,1042384.7837961388,15.547861713628851,0.7012843096556365
2023-02-13,327.86225095284004,1042712.6460470917,3.1453092567107226,1.1738991096546858
2023-03-13,-254.2714403481142,1042458.3746067436,-2.4385571740407435,-0.1425250201672501
2023-03-18,742.6854516806875,1043201.0600584242,7.124365536042221,0.9615631410812231
2023-03-20,124.66636380236982,1043325.7264222266,1.1950367822228622,0.9615631410812231
2023-04-13,1374.187852364257,1044699.9142745909,13.171225606375328,1.328271924979041
2023-04-17,-316.6484594892936,1044383.2658151016,-3.030999190893636,0.3588253447581513
2023-04-25,-1177.11042552909,1043206.1553895725,-11.27086639606773,-1.5873829418699414
2023-04-28,459.34081208238547,1043665.4962016549,4.403164319049194,0.8535168842693341
2023-05-03,-21.09864587110822,1043644.3975557837,-0.2021590820803717,-0.6864003868551016
2023-05-06,-373.19042576801615,1043271.2071300157,-3.575838922165716,-0.1743977740241598
2023-05-11,-736.7384383043737,1042534.4686917113,-7.0618112842498775,-0.1743977740241598
2023-05-13,-20.57862586549406,1042513.8900658458,-0.19739036438112612,-0.7244801918740551
2023-05-24,-162.92166634457908,1042350.9683995012,-1.5627769365671365,-0.7244801918740551
2023-05-28,798.4752430498528,1043149.4436425511,7.660330035246073,-0.06228285007950918
2023-07-14,4138.794076383412,1047288.2377189345,39.675945777541195,-0.06228285007950918
2023-07-26,815.2006350803931,1048103.4383540149,7.783918559573971,0.015371360408278356
2023-08-07,191.15828372364263,1048294.5966377385,1.8238494095949682,0.8728528720920004
2023-08-20,29.15760543209317,1048323.7542431706,0.2781432387957755,0.8622372403159329
2023-09-14,619.6120782346494,1048943.3663214052,5.910503083868147,0.8622372403159329
2023-09-19,192.774967887819,1049136.141289293,1.8378014874518127,-0.20738304839804655
2023-11-01,3098.6405615272374,1052234.7818508204,29.535161735247144,1.0664732962442303
2023-11-05,434.93218253359987,1052669.714033354,4.133413854354625,0.28460378421049093
2023-11-07,228.81253182227752,1052898.5265651764,2.1736403049497017,0.28460378421049093
2023-11-15,1529.956800204351,1054428.4833653807,14.530904561102012,0.21170451411640645
2023-11-23,-171.76834755352277,1054256.7150178272,-1.6290184707956301,0.20096925426713597
2023-12-22,6067.540623245521,1060324.2556410728,57.55278137491322,0.20096925426713597
2024-01-17,874.2892179794391,1061198.5448590522,8.245489182465633,-0.5558680587817943
2024-01-25,390.6115070795792,1061589.1563661317,3.680852268144224,0.54388925424671
2024-02-07,568.361531215,1062157.5178973468,5.353874686894199,0.8340408570300495
2024-02-19,229.5118438519715,1062387.0297411988,2.1608079779571154,-0.9942762430127261
2024-02-25,-159.02273703562668,1062228.0070041632,-1.4968437356992694,-0.9942762430127261
2024-03-15,4025.5634777783375,1066253.5704819416,37.897357735198185,-0.9942762430127261
2024-03-21,-643.6385819422887,1065609.9318999993,-6.036449487820867,0.3304702971922424
